Cluster,Goals,Shots,SoT,G/Sh,G/SoT,Assists,PasProg,Pas3rd,Carries,CarProg,Off,PKatt,ShoPK,Role
0,2.85,2.12725,0.76725,0.08675000000000001,0.24625,0.10525,1.4965,0.9029999999999999,18.676,1.3852499999999999,0.6985,0.03875,0.0175,Low Impact Forward
1,10.636363636363637,3.094090909090909,1.245,0.16545454545454547,0.39909090909090905,0.15636363636363637,2.983636363636364,1.5163636363636364,24.19545454545454,1.7409090909090907,0.8140909090909091,0.22636363636363638,0.17545454545454547,Elite Poacher
2,6.68,1.9912,0.8308,0.2268,0.5496,0.0984,1.8568,1.0588,20.62,1.4387999999999999,0.5844,0.032400000000000005,0.0128,Inactive/Unknown Role
3,7.958333333333333,3.2875,1.4566666666666668,0.15958333333333333,0.35791666666666666,0.1991666666666667,2.0191666666666666,0.9320833333333334,20.224999999999998,1.7983333333333331,0.6570833333333334,0.022500000000000003,0.016666666666666666,Complete Striker
4,4.24,2.5464,0.8992,0.11199999999999999,0.31079999999999997,0.2368,3.7363999999999997,1.9076,34.876,4.1739999999999995,0.35719999999999996,0.027600000000000003,0.023200000000000002,Creative Winger
